Category,Sign-Language Family,Country,Language of Country,Code,,Notes
Indo-Pakistani Sign Language,Indo-Pakistani Sign,"India, Pakistan, Bangladesh",Hindi,hi,Indian,"Main sign Language in South Asia, used by several hundred thousand deaf signers. Conflicting reports on whether Indian and Pakistani SL are one language or two."
Jakarta Sign Language,"French Sign, ASL",Indonesia,Indonesian,id,"French Sign, ASL:Malaysian?:Indonesian",a variety of Indonesian Sign Language
Japanese Sign Language,JSL,Japan,Japanese,ja,Japanese,"""Nihon Shuwa (____?)"" (JSL)"
Jhankot Sign Language,Village Sign,"Nepal, Dolpa District",Nepali,,village,(Nepal)
Jumla Sign Language,Village Sign,"Nepal, Jumla",Nepali,,village,(Nepal)
Kata Kolok,Village Sign,"Bali, Indonesia ",Indonesian,id,village,"(AKA Bali Sign Language, Benkala Sign Language)"
Laotian Sign Language,Village Sign,Laos,"Lao, French",fr,,(related to Vietnamese languages; may be more than one SL)
Korean Sign Language,"JSL, Koren Sign Language",South Korea ,Korean,ko,Japanese,"""____ (or ____)"" / ""Hanguk Soo-hwa"""
Malaysian Sign Language,"French Sign, ASL",Malaysia ,Malay,ms,"French Sign, ASL","""Bahasa Isyarat Malaysia"" (BIM)"
Mongolian Sign Language,Village Sign,Mongolia,Mongolian Language,, ?,"""______ _______ ___"""
Naga Sign Language,"Naga Hills, India",India,Hindi ,hi,village?,(India) last reported in 1921
Nepali Sign Language,Indo-Pakistani Sign,Nepal,Nepali,,Indian,"Indigenous sign language with inputs from Indian Sign Language, American Sign Language, International Sign, and others"
New Zealand Sign Language,"BANZSL, New Zealend Sign Language",New Zealand,English,en,British,(NZSL)
Old Bangkok Sign Language,Village Sign,Thailand,Thai,th,local (or village?),
Old Chiangmai Sign Language,Village Sign,Thailand,Thai,th,local (or village?),
Penang Sign Language,Village Sign,Malaysia ,Malay,ms,local,(Malaysia)
Philippine Sign Language,"French Sign, ASL",Philippines,Filipino,tl,French,(PSP)
Rennellese Sign Language,Village Sign,Solomon Islands,English,en,village,(Solomon Islands)
Samoan Sign Language,"BANZSL, Auslan",Samoa,Samoan,,Auslang,
Selangor Sign Language,"French Sign, ASL","Kuala Lumpur, Malaysia",Malay,ms,"French Sign, ASL?",(Malaysia)
Singapore Sign Language,"French Sign, ASL",Singapore,"Malay, Mandarin, Tamil","ms, ta",,"""_____"" is actually just Signed Exact English. The daily language is unknown."
Sri Lankan sign languages,Village Sign,Sri Lanka,"Sinhala, Tamil",ta,local,(14 deaf schools with different languages)
